"Qty","Reference","Value","Manufacturer_Part_Number","Mouser Price/Stock","Datasheet"
"1","BLACK_TP1","5006","5006","https://www.mouser.co.uk/ProductDetail/Keystone-Electronics/5006?qs=q0tsjPZWdm99DN5QVOwb8g%3D%3D","https://www.keyelco.com/product-pdf.cfm?p=1315"
"6","C1,C2,C3,C4,C9,C10","1uF","","","~"
"2","C5,C6","10uF","","","~"
"1","C7","0.33uF","","","~"
"1","C8","0.1uF","","","~"
"6","D1,D2,D3,D4,D5,D6","BAT54XV2T1G","BAT54XV2T1G","https://www.mouser.co.uk/ProductDetail/onsemi/BAT54XV2T1G?qs=vLkC5FC1VN8vpceP7xcdrw%3D%3D","https://www.onsemi.com/pub/Collateral/BAT54XV2T1-D.PDF"
"1","D7","X0202MN_5BA4","X0202MN 5BA4","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/X0202MN-5BA4?qs=gSSIpVhvwUnb%2FPyS6HoGFw%3D%3D","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00002274.pdf"
"2","IC1,IC2","LM2901BIRTER","LM2901BIRTER","https://www.mouser.com/ProductDetail/Texas-Instruments/LM2901BIRTER?qs=ST9lo4GX8V3zk2%252BOmHFJRA%3D%3D","https://www.ti.com/lit/ds/symlink/lm339b.pdf?ts=1749646474140&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FLM339B"
"1","IC3","SN74HC08PWR","SN74HC08PWR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74HC08PWR?qs=YhsVCygOPE3Unj1QR%252B8zHA%3D%3D","http://www.ti.com/lit/gpn/sn74hc08"
"1","IC4","SN74HC32PWR","SN74HC32PWR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74HC32PWR?qs=ZA235jQDfbp291NIbGpFPA%3D%3D","http://www.ti.com/lit/gpn/sn74hc32"
"1","IC5","L7805ACD2T-TR","L7805ACD2T-TR","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/L7805ACD2T-TR?qs=Ctxo64yJVFuOLXlPPZdJUQ%3D%3D","https://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"1","J1","776280-1","776280-1","https://www.mouser.co.uk/ProductDetail/TE-Connectivity/776280-1?qs=tLAa1RwIH6coumJMxuaTDA%3D%3D","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1773979-2&DocType=Data%20Sheet&DocLang=English&PartCntxt=776280-1&DocFormat=pdf"
"3","LED1,LED2,LED3","150060RS75000","150060RS75000","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150060RS75000?qs=LlUlMxKIyB3QnmZ3fw%2FVCA%3D%3D","https://www.we-online.com/components/products/datasheet/150060RS75000.pdf"
"6","LED4,LED5,LED6,LED7,LED8,LED9","150060GS75000","150060GS75000","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/150060GS75000?qs=LlUlMxKIyB0UYkq5lDO8nA%3D%3D","https://componentsearchengine.com/Datasheets/2/150060GS75000.pdf"
"1","Q1","2N7002,215","2N7002,215","https://www.mouser.co.uk/ProductDetail/Nexperia/2N7002215?qs=P62ublwmbi9rRKKuNdhqMA%3D%3D","https://assets.nexperia.com/documents/data-sheet/2N7002.pdf"
"13","R1,R2,R3,R4,R5,R6,R7,R8,R14,R20,R24,R25,R26","10k","","","~"
"2","R9,R10","510","","","~"
"1","R11","150","","","~"
"6","R12,R13,R16,R17,R21,R22","91","","","~"
"2","R15,R19","100","","","~"
"1","R18","100k","","","~"
"1","R23","1k","","","~"
"6","RED_TP1,RED_TP2,RED_TP3,RED_TP4,RED_TP5,RED_TP6","5005","5005","https://www.mouser.co.uk/ProductDetail/Keystone-Electronics/5005?qs=q0tsjPZWdm%252BiIco20yB3BQ%3D%3D","http://www.keyelco.com/product-pdf.cfm?p=1314"
"1","TP1","ST_5V","","","~"
"1","U1","TPS2116DRL","","","https://www.ti.com/lit/ds/symlink/tps2116.pdf"
"6","VR1,VR2,VR3,VR4,VR5,VR6","10k","3386P-1-103TLF","https://www.mouser.co.uk/ProductDetail/Bourns/3386P-1-103TLF?qs=m2uG%2FFdTAPW0l2ELvsEvlA%3D%3D","https://www.mouser.com/datasheet/2/54/3386-776606.pdf"
"2","WHITE_TP1,WHITE_TP2","5007","5007","https://www.mouser.co.uk/ProductDetail/Keystone-Electronics/5007?qs=q0tsjPZWdm%2FR8ZVOxrSXrQ%3D%3D","https://www.keyelco.com/product-pdf.cfm?p=1316"
