Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C9",0603,3,100nF,
C10,0603,1,10uF,
"C2, C4, C5, C6",0603,4,1uF,
"C7, C8",0603,2,4.7uF,
"H1, H2",MountingHole_3.2mm_M3,2,M3,
H3,BATHLD001THM,1,BAT-HLD-001-THM,
IC1,ESP32S3WROOM1UN8R8,1,ESP32-S3-WROOM-1U-N8R8,
IC2,QFN50P500X500X80-29N-D,1,CP2102N-A02-GQFN28,
IC3,SOIC127P1032X265-16L,1,DS3231SN#,
J1,USB_Micro-B_Molex-105017-0001,1,ESP_USB,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Socket,
LED1,LEDC1608X80N,1,150060RS75000,
LED2,SSFLXH100LID01,1,RED,
LED3,LEDC1608X80N,1,150060GS75000,
"Q1, Q2",SOT96P237X111-3N,2,MMBT2222LT1G,
"R1, R10, R14, R15, R2",0603,5,10k,
R11,0603,1,68,
R12,0603,1,220,
R13,0603,1,5.05,
"R3, R5",0603,2,27,
"R4, R6",0603,2,2.2k,
R7,0603,1,22.1K,
R8,0603,1,1k,
R9,0603,1,47.5K,
U1,SOT-23-6,1,USBLC6-2SC6,
