Designator,Mid X,Mid Y,Rotation,Layer,,
C1,116.5,-127.3,90,top,16.5,7.7
C10,125.75,-104.975,270,top,25.75,30.025
C2,124,-120.3,180,top,24,14.7
C3,125.75,-102,90,top,25.75,33
C4,106.7,-120.993839,180,top,6.7,14.006161
C5,119,-128,0,top,19,7
C6,140.3,-133.3,180,top,40.3,1.7
C7,115,-128.1,270,top,15,6.9
C8,114.2,-124.3,180,top,14.2,10.7
C9,114.2,-125.8,0,top,14.2,9.2
IC1,137,-109.89,0,top,37,25.11
IC2,118.9,-122.65,0,top,18.9,12.35
IC3,142.7,-126.6,90,top,42.7,8.4
J1,102.7,-123.893839,270,top,2.7,11.106161
LED1,106.85,-126.3,0,top,6.85,8.7
LED3,118.3,-133.6,180,top,18.3,1.4
Q1,122.34,-129.75,270,top,22.34,5.25
Q2,125.93,-129.75,270,top,25.93,5.25
R1,122.475,-132.4,0,top,22.475,2.6
R10,125.75,-108,270,top,25.75,27
R11,109.3,-127.1,90,top,9.3,7.9
R12,111.6,-129,0,top,11.6,6
R13,114.2,-120.2,180,top,14.2,14.8
R14,137.3,-133.3,180,top,37.3,1.7
R15,143.3,-133.3,180,top,43.3,1.7
R2,125.975,-132.4,180,top,25.975,2.6
R3,110.9,-124.493839,0,top,10.9,10.506161
R4,135.7,-128.6,180,top,35.7,6.4
R5,110.9,-122.593839,180,top,10.9,12.406161
R6,136.6,-130.9,90,top,36.6,4.1
R7,119,-131,0,top,19,4
R8,119,-126.5,0,top,19,8.5
R9,119,-129.5,0,top,19,5.5
U1,107.3,-123.5,0,top,7.3,11.5
