"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C11,C15,C21,C22,C23,C20,C29";"C_0805_2012Metric";7;"10uF";;;
2;"R28,R34,R20,R35,R32,R33";"R_0603_1608Metric";6;"330";;;
3;"R26,R9,R11,R24,R22";"R_0603_1608Metric";5;"2k";;;
4;"H2,H6,H1,H4,H5,H7,H8,H3";"MountingHole_3.2mm_M3";8;"M3";;;
5;"U7";"SOT-5X3";1;"TPS2116";;;
6;"C13,C28,C14";"C_0603_1608Metric";3;"1uF";;;
7;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"BOOT";;;
8;"C26,C17,C18,C25,C24";"C_0402_1005Metric";5;"100n";;;
9;"R23,R19,R21,R3,R6,R7";"R_0603_1608Metric";6;"10k";;;
10;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGT6";;;
11;"C27,C35,C2,C33,C8,C40,C38,C10,C7,C1,C32,C6,C12,C34,C37,C39,C36,C5,C9";"C_0402_1005Metric";19;"100nF";;;
12;"C4,C3";"C_0603_1608Metric";2;"2.2uF";;;
13;"D7,D2,D6,D8,D11,D13,D5,D1,D12";"D_SOD-323_HandSoldering";9;"TVS";;;
14;"D14,D16,D10,D17,D9,D15";"LED_Cree-PLCC4_5x5mm_CW";6;"LTST-C235KGKRKT";;;
15;"J4";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
16;"JP2";"PinHeader_1x02_P2.54mm_Vertical";1;"Bus Term.";;;
17;"POT2,POT1,POT3";"P081N-271F2CBR10K";3;"~";;;
18;"D3,D4";"SOD-123FL";2;"TVS";;;
19;"R2,R1";"R_0805_2012Metric";2;"10k";;;
20;"R4,R25,R8";"R_0603_1608Metric";3;"220";;;
21;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"12MHz";;;
22;"R5";"R_0603_1608Metric";1;"120";;;
23;"U5";"SOT-23-6";1;"USBLC6-2SC6";;;
24;"C19,C16";"C_0402_1005Metric";2;"10pF";;;
25;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
26;"B2,B1";"8631CQD2";2;"Conn_01x02";;;
27;"J1";"JST_EH_S4B-EH_1x04_P2.50mm_Horizontal";1;"Conn_01x04_Socket";;;
28;"J2,J3";"JST_EH_S2B-EH_1x02_P2.50mm_Horizontal";2;"Conn_01x02";;;
29;"POT5,POT4";"P081N-271F2CBR10K";2;"~";;;
30;"LED2";"LED_0805_2012Metric";1;"RED";;;
31;"R13,R14";"R_0603_1608Metric";2;"2.7k";;;
32;"U6";"SOT-223-3_TabPin2";1;"MIC37100-3.3WS";;;
33;"R16,R15,R29,R31,R30";"R_0603_1608Metric";5;"1k";;;
34;"FB1";"L_0603_1608Metric";1;"120R";;;
35;"U4";"SOT-353_SC-70-5";1;"24LC01BT-E/LT";;;
36;"D18";"LED_0805_2012Metric";1;"GREEN";;;
