"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"FB1";"L_0603_1608Metric";1;"120R";;;
2;"C9,C8,C13,C14,C12,C10,C7,C11";"C_0402_1005Metric";8;"100nF";;;
3;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"BOOT";;;
4;"C4,C3";"C_0402_1005Metric";2;"10pF";;;
5;"U5";"SOT-223-3_TabPin2";1;"MIC37100-3.3WS";;;
6;"R1,R2";"R_0603_1608Metric";2;"2.7k";;;
7;"R4";"R_0805_2012Metric";1;"10k";;;
8;"C15,C16";"C_0603_1608Metric";2;"1uF";;;
9;"U3";"RFM95W";1;"RFM95W";;;
10;"J3";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Conn_01x04_Socket";;;
11;"C6,C5";"C_0603_1608Metric";2;"2.2uF";;;
12;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGT6";;;
13;"IC2";"SOT65P210X110-5N";1;"24LC01BT-E_LT";;;
14;"C1,C2";"C_0805_2012Metric";2;"10uF";;;
15;"D1";"LED_0805_2012Metric";1;"RED (floating)";;;
16;"R3";"R_0805_2012Metric";1;"220";;;
17;"U4";"DS3231";1;"DS3231";;;
18;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"12MHz";;;
19;"H1";"MountingHole_3.2mm_M3";1;"M3";;;
20;"J2";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
21;"U2";"SOT-23-6";1;"USBLC6-2SC6";;;
