"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical";1;"BUTTON";;;
2;"R1,R4";"R_1206_3216Metric";2;"10k";;;
3;"R2";"R_0603_1608Metric";1;"120";;;
4;"C1,C3,C2,C4";"C_0402_1005Metric";4;"100nF";;;
5;"JP2";"PinHeader_1x02_P2.54mm_Vertical";1;"CAN";;;
6;"R3,R5";"R_0805_2012Metric";2;"220";;;
7;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"Shield";;;
8;"D3";"LED_1206_3216Metric";1;"RED";;;
9;"J4";"JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical";1;"SERVO";;;
10;"D6,D5,D4";"D_0402_1005Metric";3;"GG040205170N2P";;;
11;"A1";"Arduino_Uno_R4_Minima_Shield";1;"Arduino_Uno_R4_Minima_Shield";;;
12;"J1";"JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical";1;"CAN";;;
13;"U2";"VSSOP-8_2.3x2mm_P0.5mm";1;"TXU0202";;;
14;"D1";"SOT-323_SC-70";1;"ESDCAN";;;
15;"J2";"JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical";1;"POWER";;;
16;"D2";"LED_1206_3216Metric";1;"GREEN";;;
17;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
