"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C8,C12,C18,C4,C20,C7,C19,C10,C15,C6,C2";"C_0402_1005Metric";11;"100nF";;;
2;"U6";"SOT-23-6";1;"USBLC6-2SC6";;;
3;"D2";"D_SOD-323";1;"TVS";;;
4;"R13";"R_0603_1608Metric";1;"1k";;;
5;"J1";"JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical";1;"JST-XH";;;
6;"C11,C13";"C_0603_1608Metric";2;"2.2uF";;;
7;"R12";"R_0805_2012Metric";1;"150";;;
8;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGT6";;;
9;"D3";"Dialight_561-XX0X-XXX";1;"RED";;;
10;"U3";"SOT-223-3_TabPin2";1;"MIC37100-3.3WS";;;
11;"C3,C1,C14";"C_0805_2012Metric";3;"10uF";;;
12;"C16,C17";"C_0603_1608Metric";2;"1uF";;;
13;"R6,R4";"R_0603_1608Metric";2;"2.7k";;;
14;"FB1";"L_0603_1608Metric";1;"120R";;;
15;"R9,R7,R3,R10";"R_0805_2012Metric";4;"10k";;;
16;"R5,R2";"R_0805_2012Metric";2;"220";;;
17;"R14";"R_0603_1608Metric";1;"300";;;
18;"D1";"Dialight_561-XX0X-XXX";1;"GREEN";;;
19;"D4";"LED_0805_2012Metric";1;"GREEN";;;
20;"H2,H1";"MountingHole_3.2mm_M3";2;"M3";;;
21;"D5,D6";"SOD-123FL";2;"TVS";;;
22;"J3";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
23;"C21";"C_0603_1608Metric";1;"1nF";;;
24;"J4";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";1;"JST-XH";;;
25;"R11";"R_0805_2012Metric";1;"300";;;
26;"U4";"SC-70-5";1;"24LC01BT-E/LT";;;
27;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"BOOT";;;
28;"U2";"MAX9924";1;"~";;;
29;"C5,C9";"C_0402_1005Metric";2;"10pF";;;
30;"R8";"R_0603_1608Metric";1;"120";;;
31;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
32;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"12MHz";;;
33;"JP2";"PinHeader_1x02_P2.54mm_Vertical";1;"Bus Termination";;;
