"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C10,C9";"C_0402_1005Metric";2;"10pF";;;
2;"D3,D2";"SOD-123FL";2;"TVS";;;
3;"J2";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
4;"C5,C4";"C_0603_1608Metric";2;"2.2uF";;;
5;"R3";"R_0603_1608Metric";1;"120";;;
6;"C1,C3,C2,C11,C6";"C_0402_1005Metric";5;"100nF";;;
7;"C13,C12";"C_0805_2012Metric";2;"10uF";;;
8;"H3,H2,H1,H4";"MountingHole_3.2mm_M3";4;"M3";;;
9;"R9,R4,R2";"R_0805_2012Metric";3;"10k";;;
10;"FB1";"L_0603_1608Metric";1;"120R";;;
11;"R7,R8";"R_0603_1608Metric";2;"2.2k";;;
12;",";"";2;"";;;
13;"C14,C15";"C_0402_1005Metric";2;"100 nF";;;
14;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGT6";;;
15;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"BOOT";;;
16;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
17;"C8,C7";"C_0603_1608Metric";2;"1uF";;;
18;"U4";"SOT-23-6";1;"USBLC6-2SC6";;;
19;"J1";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"JST-XH";;;
20;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"12MHz";;;
21;"U6";"LGA-14L";1;"ISM330DHCXTR";;;
22;"R5,R6";"R_0603_1608Metric";2;"2.7k";;;
23;"R1";"R_0805_2012Metric";1;"220";;;
24;"JP2";"PinHeader_1x02_P2.54mm_Vertical";1;"Bus Termination";;;
25;"U3";"SOT-223-3_TabPin2";1;"MIC37100-3.3WS";;;
26;"D1";"LED_0805_2012Metric";1;"GREEN";;;
27;"U5";"SC-70-5";1;"24LC01BT-E/LT";;;
