"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R1,R3";"R_0805_2012Metric";2;"10k";;;
2;"C13,C14";"C_0805_2012Metric";2;"10uF";;;
3;"J5,J3";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";2;"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";;;
4;"U4";"SC-70-5";1;"24LC01BT-E/LT";;;
5;"C17,C18";"C_0402_1005Metric";2;"10pF";;;
6;"U3,U3,U3,U3";"RFM95W";4;"RFM95W";;;
7;"U2";"SOT-223-3_TabPin2";1;"MIC37100-3.3WS";;;
8;"H4,H1,H1,H1,H3,H1,H1,H2";"MountingHole_3.2mm_M3";8;"M3";;;
9;"JP2";"PinHeader_1x02_P2.54mm_Vertical";1;"Bus Termination";;;
10;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGT6";;;
11;"D2,D3";"SOD-123FL";2;"TVS";;;
12;"R4";"R_0603_1608Metric";1;"120";;;
13;"U3";"SOT-23-6";1;"USBLC6-2SC6";;;
14;"C8,C5,C10,C9,C6,C16,C15,C4,C7,C3";"C_0402_1005Metric";10;"100nF";;;
15;"R2";"R_0805_2012Metric";1;"220";;;
16;"MOS1";"SOT23_TOS";1;"SOT23_TOS";;;
17;"J4";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
18;"R6,R5";"R_0603_1608Metric";2;"2.7k";;;
19;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"12MHz";;;
20;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
21;"D1";"LED_0805_2012Metric";1;"GREEN";;;
22;"C12,C11";"C_0603_1608Metric";2;"1uF";;;
23;"FB1";"L_0603_1608Metric";1;"120R";;;
24;"C2,C1";"C_0603_1608Metric";2;"2.2uF";;;
25;"C20,C19";"C_0603_1608Metric";2;"100nF";;;
26;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"BOOT";;;
27;"J2";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"JST-XH";;;
