"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3,C28,C46,C16,C38,C47,C4,C21,C8,C6,C12,C24,C42,C13,C2,C45,C40,C29,C26,C39,C44,C9";"C_0402_1005Metric";22;"100nF";;;
2;"R20,R21";"R_0402_1005Metric";2;"120";;;
3;"R3,R17,R13,R22,R23,R15,R7,R14";"R_0603_1608Metric";8;"10k";;;
4;"C14";"C_0603_1608Metric";1;"4.7uF";;;
5;"C34";"CP_Elec_6.3x5.9";1;"100uF";;;
6;"R5,R4,R2,R1";"R_0603_1608Metric";4;"2.7k";;;
7;"C10,C5";"C_0603_1608Metric";2;"2.2uF";;;
8;"C25,C18,C27,C32,C43,C17,C41,C33,C11,C15,C37";"C_0603_1608Metric";11;"1uF";;;
9;"TP7";"TestPoint_Pad_1.0x1.0mm";1;"SAFEBOOT";;;
10;"JP3,JP2";"PinHeader_1x02_P2.54mm_Vertical";2;"Bus Termination";;;
11;"J4";"CONN23_776087_TEC";1;"1-776087-1";;;
12;"J3";"CONN23_776087_TEC";1;"1-776087-4";;;
13;"U12";"SOT-23-6";1;"USBLC6-2SC6";;;
14;"TP5";"TestPoint_Pad_1.0x1.0mm";1;"3.3";;;
15;"C19";"CP_Elec_6.3x5.9";1;"47uF";;;
16;"R16,R6";"R_0603_1608Metric";2;"220";;;
17;"U9";"UQFN-17-3.5x1.2mm";1;"ST_EMIF06-MSD02N16";;;
18;"R8,R12,R11,R9";"R_0402_1005Metric";4;"10k";;;
19;"AE1";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"UFL";;;
20;"C1,C7";"C_0402_1005Metric";2;"10pF";;;
21;"L1";"L_Bourns_SRP7028A_7.3x6.6mm";1;"4.7uH";;;
22;"R18";"R_0603_1608Metric";1;"330";;;
23;"FB1";"L_0603_1608Metric";1;"120R";;;
24;"TP4";"TestPoint_Pad_1.0x1.0mm";1;"ST_5V";;;
25;"U5,U6";"SOT-5X3";2;"TPS2116";;;
26;"C36,C35";"C_1206_3216Metric";2;"10uF";;;
27;"J2";"microSD_HC_Molex_104031-0811";1;"Molex_1040310811";;;
28;"U1";"LQFP-100_14x14mm_P0.5mm";1;"STM32H723VGTx";;;
29;"C30,C31";"C_0805_2012Metric";2;"22uF";;;
30;"D4,D5";"SOT-323_SC-70";2;"ESDCAN03-2BWY";;;
31;"TP3";"TestPoint_Pad_1.5x1.5mm";1;"SMPS_OUT";;;
32;"C23";"C_0603_1608Metric";1;"100nF";;;
33;"U13,U14";"SOIC-8_3.9x4.9mm_P1.27mm";2;"SN65HVD230";;;
34;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"BOOT";;;
35;"R10";"R_0402_1005Metric";1;"74.1k";;;
36;"H4";"MountingHole_3.2mm_M3";1;"M3";;;
37;"J1";"Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";1;"TC2030-NL";;;
38;"C22";"C_1206_3216Metric";1;"22uF";;;
39;"D1";"SSF-LXH100LGD";1;"GREEN";;;
40;"D3,D2";"SSF-LXH100LID";2;"RED";;;
41;"TP1";"TestPoint_Pad_1.0x1.0mm";1;"ST_5VA";;;
42;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ADR425BRZ";;;
43;"L2";"L_0402_1005Metric";1;"27nH";;;
44;"J5";"Molex_usbB_67068-7041";1;"USB_B";;;
45;"U8";"ublox_NEO";1;"NEO-M9N";;;
46;"Y1";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"25MHz";;;
47;"U3";"TSSOP-16_4.4x5mm_P0.65mm";1;"INA260";;;
48;"U4";"SOT-5X3";1;"TI_TPS563211";;;
49;"C20";"C_0805_2012Metric";1;"10uF";;;
50;"R19";"R_0402_1005Metric";1;"10";;;
51;"TP6";"TestPoint_Pad_1.0x1.0mm";1;"RESET";;;
52;"U10";"TSSOP-8_4.4x3mm_P0.65mm";1;"M24128-BRDW6TP";;;
53;"U11";"TSSOP-16_4.4x5mm_P0.65mm";1;"ADC128S102";;;
54;"TP2";"TestPoint_Pad_1.5x1.5mm";1;"GND";;;
55;"U7";"SOT-223-3_TabPin2";1;"MIC37100-3.3WS";;;
